word,log_occurence
cover,-4.13308636
focus,-4.141823285
serve,-4.14781204
weeks,-4.154722208
items,-4.154756531
ideas,-4.15509105
lives,-4.156872022
tests,-4.163044313
ratio,-4.166352884
wrote,-4.172045024
floor,-4.174056653
miles,-4.17860292
fixed,-4.178759287
seven,-4.181136193
truth,-4.181885416
sites,-4.185186563
write,-4.188007639
stand,-4.194100503
media,-4.195645916
based,-4.195742007
speed,-4.195869238
index,-4.199068831
eight,-4.199774384
heavy,-4.200019897
trust,-4.202333488
upper,-4.20304009
civil,-4.207151292
error,-4.207392098
begin,-4.209295035
ready,-4.209880566
steps,-4.212803223
earth,-4.213262922
learn,-4.215416942
stood,-4.216160958
speak,-4.216700272
daily,-4.216773212
wrong,-4.216928013
avoid,-4.218660792
style,-4.219336998
carry,-4.220936782
urban,-4.222668473
reach,-4.223780578
limit,-4.225403533
union,-4.22551265
metal,-4.228355319
peace,-4.229224003
filed,-4.229836869
color,-4.230514625
names,-4.231416412
exist,-4.231532525
joint,-4.23429474
north,-4.237508671
spent,-4.240129568
round,-4.241921451
notes,-4.242892237
doubt,-4.247799208
facts,-4.247979542
forth,-4.248169772
older,-4.253952823
south,-4.256286595
rural,-4.256438638
glass,-4.257162509
layer,-4.257242032
waste,-4.261051944
press,-4.261514153
faith,-4.265497233
lived,-4.266324809
shape,-4.267450451
aware,-4.269410069
agent,-4.270371515
moral,-4.271970451
trees,-4.274374658
mouth,-4.27595166
meant,-4.27600332
green,-4.278492909
views,-4.278813653
input,-4.279944991
check,-4.281442906
visit,-4.2826157
areas,-4.283453799
broad,-4.29083879
yield,-4.291926932
brain,-4.293475784
entry,-4.295623179
agree,-4.295732623
river,-4.299153085
goals,-4.302157962
grant,-4.304445692
judge,-4.304530935
firms,-4.305753654
piece,-4.307060952
enter,-4.309220072
taxes,-4.310394904
steel,-4.310983454
solid,-4.314146269
named,-4.314983784
worth,-4.315393374
pages,-4.316238195
depth,-4.31755225
drive,-4.317966855
cycle,-4.320550245
build,-4.32255275
drawn,-4.32315929
owner,-4.326510484
break,-4.338301512
chief,-4.338850516
owned,-4.341796853
crime,-4.347084063
brief,-4.347740376
happy,-4.348222917
bound,-4.350532851
drugs,-4.353159475
birth,-4.353245337
adult,-4.355664712
block,-4.35797502
noise,-4.363716747
shift,-4.364523073
kinds,-4.364810527
motor,-4.371306224
phone,-4.371336185
scene,-4.377193653
plane,-4.378959574
users,-4.379141847
tools,-4.383465871
radio,-4.38438981
usual,-4.386047063
sleep,-4.389737021
sides,-4.390452547
girls,-4.391644305
rapid,-4.391803587
leads,-4.391817164
knows,-4.392429148
fresh,-4.39877389
lands,-4.400534258
novel,-4.407382066
minor,-4.408173854
scope,-4.408911159
store,-4.409418357
loans,-4.409772682
guide,-4.40985379
walls,-4.409909639
spoke,-4.410155885
looks,-4.41140743
prove,-4.414115905
mixed,-4.419863485
signs,-4.420719544
fight,-4.42176974
fluid,-4.425421517
wants,-4.426797552
proof,-4.427439967
chain,-4.427903849
refer,-4.428590462
grade,-4.429657246
plate,-4.430124316
ahead,-4.431248128
bonds,-4.433596847
stone,-4.435185913
curve,-4.435484782
inner,-4.439833918
calls,-4.44054603
angle,-4.440697119
brown,-4.441694565
frame,-4.442409277
youth,-4.446471628
abuse,-4.447896335
raise,-4.448772049
grown,-4.451639569
thick,-4.459817133
smile,-4.461760754
clean,-4.464403093
FALSE,-4.465601935
touch,-4.4661393
gross,-4.469096805
ended,-4.469330227
ideal,-4.469789898
apart,-4.470212012
enemy,-4.470392376
extra,-4.47203109
train,-4.472851392
tasks,-4.473861702
watch,-4.474390275
sight,-4.479945612
horse,-4.484041228
track,-4.486523199
grain,-4.488429234
twice,-4.488879575
chair,-4.490294456
delay,-4.492526331
acres,-4.493260142
maybe,-4.498458282
banks,-4.499792669
sheet,-4.500223966
spend,-4.502506762
ought,-4.505304277
award,-4.505527372
thank,-4.508222186
sugar,-4.511135159
films,-4.511573626
loved,-4.51304169
finds,-4.514569449
wages,-4.517420765
homes,-4.518157589
valid,-4.518880095
count,-4.519386775
favor,-4.520428021
route,-4.522018155
truly,-4.527113019
fruit,-4.528209815
trend,-4.528871876
panel,-4.530311883
dated,-4.530915758
files,-4.532716083
aside,-4.535686486
holds,-4.537313649
waves,-4.537626819
empty,-4.537706243
rooms,-4.541034787
hence,-4.543106237
quick,-4.545545469
heads,-4.545575736
worse,-4.546687844
rocks,-4.546888293
cells,-4.547238681
roles,-4.551678253
coast,-4.551680861
ships,-4.551768419
plays,-4.551895487
drink,-4.551968451
sharp,-4.553500287
faced,-4.555258431
acute,-4.557218562
enjoy,-4.558721676
draft,-4.562666717
dream,-4.562726591
chest,-4.563821856
quiet,-4.566047692
texts,-4.566636039
logic,-4.571273383
argue,-4.571297341
video,-4.574198077
solar,-4.574740221
vital,-4.574781981
acted,-4.576972271
risks,-4.577789444
begun,-4.57787478
supra,-4.578762828
flows,-4.582848347
virus,-4.583330298
turns,-4.585926107
cents,-4.588519463
fault,-4.590315503
shock,-4.591116907
cited,-4.591472012
arise,-4.594006082
treat,-4.595359711
crops,-4.597051711
laser,-4.597352912
fifty,-4.597444897
print,-4.598532253
armed,-4.598703136
catch,-4.600302422
theme,-4.603920251
outer,-4.60425667
teeth,-4.604337263
plain,-4.607967657
liver,-4.609012967
shook,-4.609130783
exact,-4.61080153
tells,-4.611082339
match,-4.614532065
guess,-4.614803678
width,-4.615812195
lists,-4.616650681
newly,-4.616919265
roots,-4.617053047
dance,-4.617755386
hotel,-4.619024388
alive,-4.620148368
topic,-4.621873231
birds,-4.62329341
faces,-4.6249383
forty,-4.626829509
sorry,-4.626959513
soils,-4.626969899
moves,-4.627364407
helps,-4.628301275
bills,-4.628341186
lying,-4.631819848
skill,-4.632367199
teach,-4.633471616
score,-4.634671595
taste,-4.636116145
broke,-4.638162033
lease,-4.638188099
unity,-4.638283657
hoped,-4.642013787
prime,-4.644726851
roads,-4.644926715
solve,-4.645890876
dates,-4.648425569
pilot,-4.649514418
dress,-4.649586542
towns,-4.650502158
cable,-4.651877906
links,-4.651931589
fewer,-4.655511977
males,-4.655519508
ocean,-4.657476482
stars,-4.657832706
nerve,-4.657861126
sweet,-4.658387271
games,-4.658776679
reply,-4.65991631
adopt,-4.660421622
spite,-4.660592651
fifth,-4.662216188
gains,-4.662954616
grass,-4.663260436
split,-4.665066848
truck,-4.669301298
modes,-4.670661898
doors,-4.672181933
falls,-4.67463471
bears,-4.676859767
wheat,-4.677550925
pulse,-4.678369712
liked,-4.679731729
tears,-4.680841699
anger,-4.682463776
array,-4.682810067
marks,-4.683780771
bands,-4.687655293
slope,-4.68799712
worry,-4.690759893
tumor,-4.692462333
worst,-4.693409768
wider,-4.695460842
crowd,-4.697801564
fiber,-4.69924346
feels,-4.703163807
guard,-4.704861645
smoke,-4.704937167
bones,-4.7059251
inter,-4.706749501
trace,-4.709085459
shell,-4.710276386
serum,-4.710775152
nurse,-4.714403304
tight,-4.716737409
genes,-4.717564706
blind,-4.717785779
foods,-4.719193799
honor,-4.721571135
beare,-4.72219247
sizes,-4.725571644
dealt,-4.727622978
steam,-4.729203853
bread,-4.730081212
asset,-4.730260515
fails,-4.730817251
pairs,-4.731824828
flood,-4.732109127
angry,-4.732614504
chose,-4.732693959
zones,-4.733332606
saved,-4.73439546
grand,-4.736250116
label,-4.736425929
rough,-4.738271634
amend,-4.738626117
tends,-4.739556624
admit,-4.739710492
minds,-4.739971709
noble,-4.745544186
seeds,-4.74674419
stuff,-4.747043472
codes,-4.750663949
chart,-4.752583944
loose,-4.757201859
wheel,-4.758708109
valve,-4.759217682
graph,-4.763314153
lunch,-4.764358547
slave,-4.765469821
farms,-4.765720955
flesh,-4.768579353
deals,-4.769489986
storm,-4.77047433
songs,-4.770911092
drove,-4.771995235
cried,-4.772402019
seeks,-4.772747556
teams,-4.774451913
usage,-4.774803145
sheep,-4.775008265
essay,-4.775199607
proud,-4.780048737
shore,-4.780087458
beach,-4.780640109
grace,-4.780823522
poems,-4.782869531
crude,-4.783226689
tired,-4.784385412
movie,-4.78861972
edges,-4.792177101
pride,-4.792389327
fired,-4.793468816
holes,-4.794722611
royal,-4.79569979
oxide,-4.795825917
audit,-4.79773937
throw,-4.798534216
paint,-4.799219526
stick,-4.799795419
photo,-4.801197436
boats,-4.801210153
tract,-4.801825823
renal,-4.80233722
alter,-4.802492067
basin,-4.803189365
organ,-4.805100103
click,-4.805481987
ruled,-4.805844348
brand,-4.809883637
talks,-4.810621385
laugh,-4.812619636
crack,-4.813316843
hopes,-4.813926975
wound,-4.814566515
shirt,-4.814634835
dozen,-4.815242935
dried,-4.815386381
dying,-4.815402256
gifts,-4.816223902
grave,-4.817712516
mouse,-4.818445039
cloud,-4.818499078
nodes,-4.818755632
fraud,-4.823773622
shoes,-4.826327327
cloth,-4.826657193
shear,-4.827557515
cream,-4.831072499
meets,-4.831090335
drama,-4.832459913
toxic,-4.833989938
doses,-4.835404379
clock,-4.836033609
threw,-4.836811051
norms,-4.837056653
clerk,-4.838862149
verse,-4.845327721
decay,-4.846660895
votes,-4.847397084
magic,-4.849865109
marry,-4.853410952
cargo,-4.855978095
trans,-4.85714576
hired,-4.859051002
rigid,-4.859532371
aster,-4.859647948
seats,-4.860177796
onset,-4.860715665
vitro,-4.86118158
smell,-4.863171185
sixty,-4.866035486
merit,-4.867019309
guilt,-4.867490703
giant,-4.869844002
strip,-4.869955226
shops,-4.870080454
tanks,-4.876176741
trail,-4.878121753
ports,-4.878598282
loads,-4.879038962
yours,-4.879186036
keeps,-4.879730191
yards,-4.881211482
knees,-4.881589236
fever,-4.882168957
sport,-4.883350936
urged,-4.883932109
tubes,-4.884729952
blame,-4.885759689
knife,-4.886208958
fears,-4.888130568
glory,-4.888400499
wells,-4.89016761
gases,-4.892069945
blank,-4.894054743
habit,-4.894235371
sixth,-4.894376302
buyer,-4.894841209
tough,-4.895516462
paths,-4.89795377
pound,-4.898036954
imply,-4.898221301
badly,-4.901830353
cares,-4.903155806
fleet,-4.904633386
arose,-4.905512881
dense,-4.906280663
sized,-4.906716208
pitch,-4.906872093
wings,-4.906880846
alien,-4.907082649
realm,-4.908920742
sword,-4.908953881
burst,-4.909053474
elite,-4.909281625
stuck,-4.910888674
plots,-4.913145117
tower,-4.913410919
hills,-4.913767552
aging,-4.920319691
probe,-4.921691433
rings,-4.921874
alias,-4.922473445
actor,-4.92407249
wives,-4.927103019
meter,-4.928360001
mines,-4.929603322
ranks,-4.931229886
craft,-4.932021787
alike,-4.933252252
crown,-4.933425259
reads,-4.935987265
fuels,-4.936271792
naval,-4.936614094
shoot,-4.939233176
tribe,-4.940289882
voted,-4.940825213
woods,-4.944848027
slide,-4.946139585
urine,-4.946348002
shaft,-4.946884815
opens,-4.947902668
blade,-4.948069987
guest,-4.950096379
meals,-4.950294372
borne,-4.951207107
upset,-4.952125871
sorts,-4.952288502
juice,-4.956941852
spots,-4.957184215
shelf,-4.957481625
posts,-4.959523481
tries,-4.960882227
donor,-4.963064715
grows,-4.963338568
rises,-4.965829912
naked,-4.967675096
cheap,-4.968143248
trips,-4.968324404
cease,-4.968523429
owing,-4.969749122
crazy,-4.970870052
flame,-4.971186027
canal,-4.973674166
peaks,-4.974374983
lakes,-4.975642658
winds,-4.976281105
drops,-4.97909508
rated,-4.979428295
vapor,-4.981743224
posed,-4.981961313
react,-4.983096839
alarm,-4.985435688
piano,-4.987280768
uncle,-4.989293986
flour,-4.990429761
quote,-4.990948258
radar,-4.992190567
debts,-4.993673504
acids,-4.993854557
shame,-4.994334776
stops,-4.994631967
brush,-4.996561315
alloy,-4.996782016
grasp,-4.99771915
cubic,-4.998975612
smart,-5.000897301
cards,-5.002047202
spare,-5.002142523
boxes,-5.0041285
drift,-5.005407792
dairy,-5.006031749
reign,-5.00638112
dirty,-5.006673493
draws,-5.010356601
basal,-5.011361873
genus,-5.011571352
cafes,-5.012472931
audio,-5.012488796
fires,-5.012563896
gauge,-5.013469995
lover,-5.014029923
stems,-5.01554015
chuse,-5.015550325
parks,-5.015612649
eager,-5.017182652
spray,-5.019764562
flash,-5.020104196
brick,-5.020451412
cheek,-5.021174401
funny,-5.021247356
lucky,-5.023655988
midst,-5.024085116
micro,-5.024272169
grief,-5.024709568
suits,-5.029245237
stake,-5.029655232
fatal,-5.029863484
races,-5.030133018
trunk,-5.030843858
widow,-5.031458814
steep,-5.031745473
orbit,-5.031883435
forum,-5.032419922
opera,-5.032516198
vague,-5.033399424
lined,-5.034465833
bench,-5.035418391
swept,-5.040888529
quasi,-5.040931801
spine,-5.044011559
coach,-5.044703858
drunk,-5.044773505
poets,-5.045976631
drain,-5.046095535
shake,-5.046126379
mercy,-5.046585273
souls,-5.047783442
alert,-5.048800074
march,-5.04995041
queen,-5.050272155
shade,-5.051028475
fence,-5.053179636
cabin,-5.053824947
fatty,-5.05394831
kings,-5.054568757
mills,-5.055779377
harsh,-5.056259403
axial,-5.058289359
arrow,-5.059620542
focal,-5.059935457
loves,-5.061605323
gates,-5.061731341
honey,-5.062963455
climb,-5.063983703
ashes,-5.064241358
assay,-5.064397765
polar,-5.064833121
atoms,-5.066516712
elect,-5.066862858
hated,-5.068296233
pupil,-5.069741927
rests,-5.070404656
veins,-5.072414242
eaten,-5.073201974
likes,-5.074812428
peers,-5.077867656
alpha,-5.078674654
lungs,-5.07888444
panic,-5.07961544
fetal,-5.080634572
adapt,-5.081597631
pause,-5.081779542
stack,-5.08264053
devil,-5.083156155
prize,-5.08355739
humor,-5.084885172
super,-5.085071704
coins,-5.085675515
slept,-5.08576434
ridge,-5.086044227
tales,-5.086272691
apple,-5.088605183
gamma,-5.088824369
query,-5.089635443
beams,-5.090508136
genre,-5.090584707
maker,-5.093970663
afore,-5.094988864
walks,-5.096142655
tooth,-5.097180418
swing,-5.097821993
risen,-5.103773568
crash,-5.105385498
civic,-5.106876701
rival,-5.107008126
tense,-5.1071267
faint,-5.107195123
minus,-5.107902633
cruel,-5.109931341
fancy,-5.110826325
sauce,-5.111595849
waist,-5.111628848
spell,-5.112545629
thumb,-5.11318659
chaos,-5.113361903
prose,-5.114075048
drill,-5.116061531
lacks,-5.116281944
sandy,-5.116804591
deeds,-5.117168186
theft,-5.117337552
ruler,-5.117427036
viral,-5.11847064
gland,-5.119852662
quest,-5.120983135
patch,-5.123121371
pipes,-5.124275099
ample,-5.124309353
aimed,-5.125518349
stamp,-5.125892055
awful,-5.128548787
pumps,-5.13133528
resin,-5.132347747
sheer,-5.133074398
tenth,-5.133806555
rolls,-5.135981408
sweat,-5.136428271
folks,-5.138825326
canst,-5.138886357
shots,-5.13901092
mayor,-5.139403991
brave,-5.139406197
batch,-5.140278967
lipid,-5.141170239
stiff,-5.144372901
olive,-5.147248156
vocal,-5.148291016
salts,-5.148863034
awake,-5.148915606
verbs,-5.153091225
skull,-5.153924189
bases,-5.154589524
arena,-5.155489315
exile,-5.160941037
prone,-5.161329752
hosts,-5.162676581
angel,-5.162954887
altar,-5.166732363
loyal,-5.167215452
brass,-5.167306754
balls,-5.16746674
diary,-5.168318825
poles,-5.168610907
tapes,-5.170522947
belly,-5.173134703
wires,-5.173684693
quota,-5.175179494
limbs,-5.177002784
straw,-5.177971252
pants,-5.178566862
sends,-5.179265045
bride,-5.179517125
gonna,-5.179532366
comic,-5.180969824
waved,-5.181958215
fibre,-5.182283744
porch,-5.18276602
blows,-5.182963532
caste,-5.184498249
flies,-5.185915073
pools,-5.187474056
hurry,-5.187857781
relax,-5.188952926
ozone,-5.190448875
inlet,-5.191160658
blast,-5.191231621
mount,-5.191735692
digit,-5.191861037
trick,-5.192431073
bunch,-5.192473317
blend,-5.193567674
sided,-5.193633668
screw,-5.193908754
rifle,-5.196281121
maize,-5.196980622
bonus,-5.197161045
wrist,-5.197659569
blown,-5.198796145
trout,-5.199601509
knock,-5.20230064
breed,-5.202698503
ghost,-5.203438987
locus,-5.204683164
wagon,-5.207097212
intra,-5.207906727
email,-5.209478359
swung,-5.21030854
charm,-5.210388228
sells,-5.211783854
snake,-5.211985302
yeast,-5.21204281
elder,-5.21204664
corps,-5.215703282
loses,-5.21655143
rotor,-5.217045325
aided,-5.219538038
tidal,-5.220217281
drank,-5.221914095
tones,-5.223260389
coded,-5.223938853
macro,-5.225971644
robot,-5.226452619
suite,-5.226620111
stare,-5.227124967
couch,-5.227473023
faded,-5.229710878
shale,-5.230477165
grams,-5.23259228
elbow,-5.232868883
vivid,-5.232977456
silly,-5.233579737
rents,-5.234273519
aloud,-5.23559509
ninth,-5.235867237
lobby,-5.236284516
creep,-5.236509133
sweep,-5.236718574
boost,-5.237482634
beast,-5.238297115
crust,-5.239856707
token,-5.240792479
album,-5.241788122
exert,-5.241953126
globe,-5.243268452
lamps,-5.244003898
tours,-5.244266145
optic,-5.24597016
moist,-5.246368658
loops,-5.246545054
wiped,-5.247189328
pains,-5.248059502
irony,-5.250978033
ether,-5.253341754
sperm,-5.255189651
trait,-5.255834906
feast,-5.257666156
myths,-5.257668556
cared,-5.25954127
bells,-5.259719151
nasal,-5.259903799
poses,-5.260669271
float,-5.260794088
heels,-5.261316878
ionic,-5.261326547
fungi,-5.263254057
freed,-5.264499241
sexes,-5.267412344
scent,-5.268432919
weeds,-5.268467458
scrap,-5.268529665
diets,-5.268903389
lemon,-5.269145184
burnt,-5.270712485
backs,-5.27454283
fuzzy,-5.274685844
weigh,-5.275050436
seals,-5.275227811
fines,-5.275589495
cries,-5.276094447
cured,-5.276571876
surge,-5.279448465
utter,-5.279914018
twist,-5.279984336
slice,-5.280432133
algae,-5.281131189
brake,-5.281131681
purse,-5.28197542
steal,-5.282436901
ruins,-5.282537865
stays,-5.282947525
ranch,-5.283083862
blest,-5.284370153
erect,-5.284744085
twins,-5.28594141
taxed,-5.289014721
infra,-5.290431216
curse,-5.290455989
jeans,-5.292282508
onion,-5.294501527
skirt,-5.298559772
traps,-5.300283395
delta,-5.301041328
colon,-5.301747123
fetus,-5.30272005
monks,-5.303249758
nails,-5.303777927
swear,-5.304137906
lymph,-5.304183926
graft,-5.304937407
undue,-5.305105179
newer,-5.305783371
paste,-5.306523143
fauna,-5.306705747
bowed,-5.307493555
setup,-5.307581744
coals,-5.307769438
clubs,-5.30917671
spill,-5.309559128
bowel,-5.310109551
heirs,-5.310112601
sworn,-5.31166825
safer,-5.312323945
wines,-5.312601413
hairs,-5.314244599
feeds,-5.315879526
woven,-5.315925336
stern,-5.316430725
avail,-5.316959216
punch,-5.317030213
petty,-5.318294496
cores,-5.318418026
overt,-5.3208871
enact,-5.322237557
dwell,-5.322653894
crest,-5.323890248
salad,-5.324768826
vowel,-5.324806403
proxy,-5.325623413
spark,-5.326422358
folds,-5.32755249
ponds,-5.328014802
prima,-5.331582558
beans,-5.333524856
beard,-5.334598509
stove,-5.336485832
voter,-5.340811738
edema,-5.340945369
coats,-5.341133303
weary,-5.341853273
rocky,-5.342011755
seize,-5.343793608
herbs,-5.344840759
rites,-5.346169965
modem,-5.347443091
drums,-5.347637033
crews,-5.350814981
naive,-5.352153544
palms,-5.352614112
swift,-5.353520461
alway,-5.353841501
saint,-5.354022327
risky,-5.35509938
dared,-5.355389445
piles,-5.355755829
tires,-5.358373566
sewer,-5.358551438
halls,-5.359316561
stain,-5.35978476
typed,-5.360389348
rebel,-5.362367138
chase,-5.362821041
modal,-5.363215211
relay,-5.363333308
motif,-5.364401934
linen,-5.36551024
weird,-5.367458447
flora,-5.368759306
fills,-5.368896367
flush,-5.369634862
fairy,-5.370872191
shout,-5.370916893
gazed,-5.371760837
urges,-5.372739056
altho,-5.374145771
pests,-5.374362991
towel,-5.375154458
ankle,-5.375868461
locks,-5.375899634
sands,-5.376304876
disks,-5.377490012
dough,-5.377853022
infer,-5.378153261
cliff,-5.381294346
hedge,-5.381312093
coral,-5.381684863
knots,-5.383092704
trash,-5.383188439
renew,-5.383350015
hears,-5.383853448
goats,-5.384057866
siege,-5.384867521
lanes,-5.386217204
wedge,-5.389354024
camps,-5.389594527
ultra,-5.389743663
cough,-5.389827883
ounce,-5.39017226
roses,-5.39018397
sinus,-5.392175354
noisy,-5.392880055
flock,-5.3936401
chill,-5.394170261
erred,-5.394900882
venue,-5.395268901
lunar,-5.395438079
thigh,-5.396393205
pulls,-5.398096518
flung,-5.398184912
liter,-5.398691606
unite,-5.398891074
deter,-5.399071714
frost,-5.399435678
witch,-5.404060467
boots,-5.404764269
pixel,-5.405286203
ditch,-5.405438349
creek,-5.405770588
masks,-5.406610761
fused,-5.406689436
rains,-5.407346481
casts,-5.40796171
merge,-5.40850242
stool,-5.408809601
diode,-5.409972396
cites,-5.413337764
lever,-5.413530357
horns,-5.413535777
bless,-5.41418676
pores,-5.414206018
nouns,-5.414309251
jokes,-5.414856448
queue,-5.415672894
wrath,-5.415946475
demon,-5.417218378
molar,-5.419850858
joins,-5.420062018
whale,-5.420404058
bolts,-5.420581204
repay,-5.421427487
deity,-5.421656901
lodge,-5.425533088
candy,-5.425694343
flank,-5.426024901
flown,-5.426173279
polls,-5.426342056
shine,-5.426636027
finer,-5.42699195
burns,-5.429737917
vinyl,-5.429984801
stole,-5.430361931
inert,-5.432152363
armor,-5.432484602
lobes,-5.433075986
eased,-5.433151512
dread,-5.435007265
lapse,-5.436851919
waive,-5.437973734
discs,-5.438885975
sadly,-5.439598276
canon,-5.440095041
penis,-5.440536628
flags,-5.442280054
agony,-5.443083868
paved,-5.444957899
aught,-5.44588339
blond,-5.448282554
deems,-5.44957935
blunt,-5.450503896
cloak,-5.450721386
skins,-5.45097791
rally,-5.452042523
wears,-5.453600312
bloom,-5.453985837
tiles,-5.454682542
spoon,-5.455198231
hints,-5.456727853
chord,-5.45673868
niche,-5.457351146
shiny,-5.457907911
burgh,-5.458429861
await,-5.458761973
edged,-5.459018383
penal,-5.459813011
needy,-5.460314458
swell,-5.460397527
mound,-5.46064145
ferry,-5.461142094
riots,-5.462932884
laden,-5.463369798
eagle,-5.464014064
crush,-5.464032374
stall,-5.464563798
beads,-5.46523469
kills,-5.466116031
sober,-5.467807096
beats,-5.468891655
rider,-5.469418403
picks,-5.469550557
toxin,-5.470251786
evils,-5.471341212
abide,-5.471491608
tuned,-5.471715614
nasty,-5.472095235
cache,-5.472367719
mined,-5.472534122
coils,-5.473259657
flask,-5.474036985
flats,-5.474438306
sunny,-5.474868752
teens,-5.475081328
pills,-5.477515056
tails,-5.478137687
amino,-5.479367964
lasts,-5.479532918
raced,-5.480478061
ethic,-5.482840815
fetch,-5.482977527
marsh,-5.483271015
nests,-5.483690081
thief,-5.484313382
liner,-5.484514446
penny,-5.484986995
doped,-5.485862006
handy,-5.487318103
ester,-5.4879686
alley,-5.488100504
worms,-5.48818048
fares,-5.488320544
pagan,-5.489077517
clash,-5.489086198
shone,-5.490256107
reuse,-5.490382816
aisle,-5.491036416
choir,-5.491349771
notch,-5.491521496
herds,-5.491688553
roofs,-5.493263746
squad,-5.494326636
crisp,-5.496133353
slots,-5.496771808
troop,-5.497072913
pious,-5.498733822
piled,-5.498741818
stark,-5.498813883
rails,-5.499031775
incur,-5.499089746
tents,-5.499510137
crept,-5.501915939
ivory,-5.502113938
booth,-5.502758447
swine,-5.502836863
baths,-5.50549806
lords,-5.506240845
plead,-5.508510284
flaws,-5.508833828
greet,-5.509639267
ethyl,-5.510089
lakhs,-5.510798382
hides,-5.512235651
toast,-5.512958779
metre,-5.513436055
dummy,-5.513437593
saves,-5.513575871
queer,-5.516189913
ropes,-5.516791259
rainy,-5.516930768
glare,-5.518075779
ducts,-5.518093354
raids,-5.51809585
cocoa,-5.518501408
piety,-5.51867646
dusty,-5.518963039
dwarf,-5.519512662
barge,-5.519680164
ulcer,-5.520236746
greed,-5.520657857
wards,-5.522749371
spoil,-5.524295264
fried,-5.525690862
spear,-5.525986308
binds,-5.526738468
scans,-5.527062402
lifts,-5.527592643
scars,-5.527671893
defer,-5.528604455
slips,-5.52872646
syrup,-5.53032265
slate,-5.531624092
anode,-5.532571302
pinch,-5.533615987
epoxy,-5.534947686
frank,-5.53505431
skies,-5.53543563
haste,-5.535817017
shalt,-5.536031272
bacon,-5.53652849
swamp,-5.537717939
mould,-5.538377324
opium,-5.538674635
swore,-5.538738071
packs,-5.540384604
epoch,-5.540416903
canoe,-5.540874939
wills,-5.54112258
tiger,-5.541473699
rides,-5.54263744
crane,-5.544298131
spike,-5.544934672
torch,-5.545041999
folly,-5.54564986
grape,-5.546326306
pizza,-5.546624665
cones,-5.548223827
hatch,-5.548607442
opted,-5.548745024
exams,-5.54885709
